gouvernorat,delegation,prix,superficie,chambres,salle_de_bains,etat,etage
tunis,Aouina,3000000.0,73,1.0,1.0,10-20 ans,3ème
tunis,El Ouardia,680000.0,97,2.0,1.0,10-20 ans,6ème
tunis,Ariana Ville,900000.0,185,3.0,3.0,Moins d'un an,
tunis,Ariana Ville,1654365.2272897356,83,2.0,1.0,Moins d'un an,3ème
tunis,Ariana Ville,1850000.0,300,4.0,3.0,1-5 ans,4ème
tunis,Ariana Ville,864434.9235819487,30,2.0,,1-5 ans,10ème
tunis,Ariana Ville,370000.0,300,12.0,6.0,Bon état,
tunis,Ariana Ville,635000.0,300,4.0,3.0,Nouveau,
tunis,Gammarth,654996.9547580003,30,2.0,,Moins d'un an,
tunis,Les Berges Du Lac,872758.5988518873,224,4.0,3.0,Nouveau,
tunis,Aouina,1150000.0,142,3.0,2.0,Moins d'un an,3ème
tunis,Ain Zaghouan,506000.0,167,3.0,3.0,Moins d'un an,1er
tunis,Ariana Ville,724000.0,149,3.0,3.0,Moins d'un an,2ème
tunis,Ariana Ville,380000.0,190,3.0,2.0,1-5 ans,1er
tunis,Ariana Ville,230000000.0,194,4.0,4.0,Moins d'un an,3ème
tunis,Ariana Ville,677586.4137090303,92,,,Moins d'un an,
tunis,Ariana Ville,650000.0,137,2.0,2.0,Moins d'un an,1er
tunis,Les Berges Du Lac,855000.0,74,1.0,1.0,1-5 ans,
tunis,Bab Bhar,850000.0,114,3.0,1.0,Bon état,2ème
tunis,Gammarth,1000000.0,206,3.0,2.0,Nouveau,
tunis,Ariana Ville,410000.0,220,4.0,1.0,Nouveau,
tunis,Ariana Ville,750000.0,172,3.0,2.0,Nouveau,
tunis,Ariana Ville,950000.0,208,3.0,2.0,Nouveau,
tunis,Les Berges Du Lac,400000.0,238,3.0,2.0,Nouveau,
tunis,Gammarth,276000.0,149,,,,
tunis,Ariana Ville,450000.0,84,,,,
tunis,Ariana Ville,290000.0,300,4.0,3.0,1-5 ans,
tunis,Ain Zaghouan,370000.0,85,1.0,1.0,Nouveau,
tunis,Ariana Ville,410000.0,67,,,,
tunis,El Menzah 7,575000.0,145,4.0,2.0,À rénover,
tunis,Cite El Khadra,1000000.0,120,3.0,2.0,1-5 ans,4ème
tunis,Ariana Ville,227500.0,75,2.0,1.0,Bon état,
tunis,Ain Zaghouan,450000.0,137,3.0,2.0,Bon état,
tunis,Ain Zaghouan,220000.0,146,2.0,2.0,Bon état,
