delegation,superficie,chambres,salle_de_bains,etat,etage,gouvernorat_ariana,gouvernorat_ben-arous,gouvernorat_la-manouba,gouvernorat_tunis,prix
36.0,300,12,6,11,1,0.0,0.0,0.0,1.0,900000.0
37.0,30,2,1,9,1,0.0,0.0,0.0,1.0,1850000.0
26.0,142,3,2,9,3,0.0,0.0,0.0,1.0,370000.0
35.0,167,3,3,9,1,0.0,0.0,0.0,1.0,635000.0
36.0,194,4,4,9,3,0.0,0.0,0.0,1.0,1150000.0
36.0,92,2,1,9,1,0.0,0.0,0.0,1.0,506000.0
36.0,137,2,2,9,1,0.0,0.0,0.0,1.0,724000.0
38.0,74,1,1,8,1,0.0,0.0,0.0,1.0,380000.0
25.0,114,3,1,11,2,0.0,0.0,0.0,1.0,230000.0
36.0,220,4,1,10,1,0.0,0.0,0.0,1.0,650000.0
36.0,172,3,2,10,1,0.0,0.0,0.0,1.0,855000.0
36.0,208,3,2,10,1,0.0,0.0,0.0,1.0,850000.0
38.0,238,3,2,10,1,0.0,0.0,0.0,1.0,1000000.0
37.0,149,2,1,9,1,0.0,0.0,0.0,1.0,410000.0
36.0,84,2,1,9,1,0.0,0.0,0.0,1.0,750000.0
36.0,300,4,3,8,1,0.0,0.0,0.0,1.0,950000.0
35.0,85,1,1,10,1,0.0,0.0,0.0,1.0,400000.0
36.0,67,2,1,9,1,0.0,0.0,0.0,1.0,276000.0
33.0,145,4,2,4,1,0.0,0.0,0.0,1.0,450000.0
29.0,120,3,2,8,4,0.0,0.0,0.0,1.0,290000.0
36.0,75,2,1,11,1,0.0,0.0,0.0,1.0,370000.0
35.0,137,3,2,11,1,0.0,0.0,0.0,1.0,410000.0
35.0,146,2,2,11,1,0.0,0.0,0.0,1.0,575000.0
38.0,220,3,2,10,1,0.0,0.0,0.0,1.0,1000000.0
26.0,65,1,1,9,4,0.0,0.0,0.0,1.0,227500.0
33.0,120,4,1,11,1,0.0,0.0,0.0,1.0,450000.0
31.0,100,3,1,4,1,0.0,0.0,0.0,1.0,220000.0
35.0,202,4,3,11,7,0.0,0.0,0.0,1.0,620000.0
37.0,150,2,2,11,1,0.0,0.0,0.0,1.0,950000.0
36.0,273,4,5,10,1,0.0,0.0,0.0,1.0,1801110.0
36.0,147,2,2,10,1,0.0,0.0,0.0,1.0,650000.0
36.0,190,3,3,9,3,0.0,0.0,0.0,1.0,1263000.0
36.0,30,1,1,9,1,0.0,0.0,0.0,1.0,300000.0
35.0,127,2,2,10,1,0.0,0.0,0.0,1.0,370000.0
36.0,152,3,3,9,1,0.0,0.0,0.0,1.0,820000.0
4.0,69,1,1,10,1,0.0,0.0,0.0,1.0,112470.0
36.0,155,2,1,9,1,0.0,0.0,0.0,1.0,580000.0
36.0,30,2,1,10,1,0.0,0.0,0.0,1.0,950000.0
26.0,64,1,1,8,4,0.0,0.0,0.0,1.0,240000.0
26.0,156,3,2,7,6,0.0,0.0,0.0,1.0,375000.0
35.0,87,1,1,11,1,0.0,0.0,0.0,1.0,330000.0
23.0,30,1,1,8,4,0.0,0.0,0.0,1.0,125000.0
23.0,87,2,1,11,1,0.0,0.0,0.0,1.0,120000.0
36.0,150,2,3,9,3,0.0,0.0,0.0,1.0,928000.0
35.0,74,1,1,9,1,0.0,0.0,0.0,1.0,350000.0
26.0,150,3,2,10,1,0.0,0.0,0.0,1.0,408000.0
36.0,187,4,2,8,1,0.0,0.0,0.0,1.0,970000.0
35.0,146,3,1,6,2,0.0,0.0,0.0,1.0,318000.0
35.0,131,2,2,9,1,0.0,0.0,0.0,1.0,486000.0
37.0,115,1,1,7,1,0.0,0.0,0.0,1.0,900000.0
35.0,158,4,2,11,1,0.0,0.0,0.0,1.0,645000.0
35.0,198,2,2,9,2,0.0,0.0,0.0,1.0,710000.0
20.0,120,3,2,11,1,0.0,0.0,0.0,1.0,265000.0
36.0,156,3,2,8,2,0.0,0.0,0.0,1.0,220000.0
26.0,127,2,2,11,1,0.0,0.0,0.0,1.0,400000.0
38.0,180,3,3,11,1,0.0,0.0,0.0,1.0,850000.0
36.0,85,1,1,10,1,0.0,0.0,0.0,1.0,290000.0
4.0,121,3,1,9,1,0.0,0.0,0.0,1.0,195860.0
36.0,264,2,1,9,1,0.0,0.0,0.0,1.0,570000.0
36.0,288,5,3,11,1,0.0,0.0,0.0,1.0,980000.0
38.0,80,2,1,11,1,0.0,0.0,0.0,1.0,325000.0
36.0,51,1,1,10,1,0.0,0.0,0.0,1.0,309000.0
36.0,247,4,3,11,1,0.0,0.0,0.0,1.0,820000.0
36.0,134,3,2,11,1,0.0,0.0,0.0,1.0,450000.0
35.0,291,3,3,9,1,0.0,0.0,0.0,1.0,970000.0
36.0,70,1,1,10,1,0.0,0.0,0.0,1.0,440000.0
26.0,148,3,2,11,1,0.0,0.0,0.0,1.0,370000.0
35.0,161,3,3,9,4,0.0,0.0,0.0,1.0,514000.0
36.0,51,2,1,9,2,0.0,0.0,0.0,1.0,295896.0
36.0,81,2,1,9,1,0.0,0.0,0.0,1.0,270000.0
38.0,137,2,2,7,8,0.0,0.0,0.0,1.0,500000.0
37.0,158,3,1,10,1,0.0,0.0,0.0,1.0,580000.0
36.0,166,3,2,10,1,0.0,0.0,0.0,1.0,748000.0
37.0,160,3,2,7,3,0.0,0.0,0.0,1.0,500000.0
36.0,126,2,2,10,1,0.0,0.0,0.0,1.0,592600.0
36.0,119,3,2,9,1,0.0,0.0,0.0,1.0,393000.0
37.0,140,2,1,10,1,0.0,0.0,0.0,1.0,420000.0
29.0,100,3,1,11,1,0.0,0.0,0.0,1.0,245000.0
33.0,114,2,2,10,1,0.0,0.0,0.0,1.0,380000.0
38.0,130,2,1,11,1,0.0,0.0,0.0,1.0,660000.0
38.0,171,2,2,8,1,0.0,0.0,0.0,1.0,850000.0
